symbol,option_type,option_strike_price,option_close_price,lot_size,margin_allowance,last_implied_volatility,expiry_factor_quotient,url
AXISBANK,CE,650,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=AXISBANK&instrument=OPTSTK&strike=650.00&type=CE&expiry=22FEB2018
AXISBANK,PE,570,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=AXISBANK&instrument=OPTSTK&strike=570.00&type=PE&expiry=22FEB2018
HDFC,CE,1980,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=HDFC&instrument=OPTSTK&strike=1980.00&type=CE&expiry=22FEB2018
HDFC,PE,1900,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=HDFC&instrument=OPTSTK&strike=1900.00&type=PE&expiry=22FEB2018
HDFCBANK,CE,2040,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=HDFCBANK&instrument=OPTSTK&strike=2040.00&type=CE&expiry=22FEB2018
HDFCBANK,PE,1940,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=HDFCBANK&instrument=OPTSTK&strike=1940.00&type=PE&expiry=22FEB2018
HDIL,CE,60,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=HDIL&instrument=OPTSTK&strike=60.00&type=CE&expiry=22FEB2018
HDIL,PE,55,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=HDIL&instrument=OPTSTK&strike=55.00&type=PE&expiry=22FEB2018
ICICIBANK,CE,360,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=ICICIBANK&instrument=OPTSTK&strike=360.00&type=CE&expiry=22FEB2018
ICICIBANK,PE,345,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=ICICIBANK&instrument=OPTSTK&strike=345.00&type=PE&expiry=22FEB2018
IDFCBANK,CE,60,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=IDFCBANK&instrument=OPTSTK&strike=60.00&type=CE&expiry=22FEB2018
IDFCBANK,PE,55,0,0,0,0,0,https://www.nseindia.com/live_market/dynaContent/live_watch/get_quote/GetQuoteFO.jsp?underlying=IDFCBANK&instrument=OPTSTK&strike=55.00&type=PE&expiry=22FEB2018
