id,curr_time,symbol,option_type,option_strike_price,volume,last_price,high_price,bid_price_1,offer_price_1,bid_price_2,offer_price_2,bid_quantity_1,offer_quantity_1,bid_quantity_2,offer_quantity_2
100951,"2018-03-05 09:15:37",MARUTI,CE,9000,450,124,130.85,118.05,125.9,118,125.95,75,75,75,75
100955,"2018-03-05 09:15:37",RELIANCE,PE,920,6000,10.3,11.2,9.6,10.45,9.55,10.75,3000,7000,1000,4000
100953,"2018-03-05 09:15:37",TATAMOTORS,PE,360,15000,8,8.3,7.9,10.1,7.85,10.15,1500,1500,3000,4500
100950,"2018-03-05 09:15:37",TATASTEEL,PE,640,5305,12.15,12.15,12.3,12.45,12,12.5,5305,4244,3183,1061
100956,"2018-03-05 09:15:37",TCS,CE,3200,500,26.05,26.05,24.35,27.95,24.3,28,500,500,250,250
100954,"2018-03-05 09:15:37",VEDL,CE,340,1750,3,3,2.55,3.05,2.5,3.15,14000,1750,1750,5250
100957,"2018-03-05 09:15:40",INFY,CE,1200,600,11.05,11.05,10.05,11.35,10,11.4,600,600,1200,600
100959,"2018-03-05 09:15:41",MARUTI,CE,9000,525,122,130.85,118.7,128.8,118.65,128.85,75,75,75,75
100958,"2018-03-05 09:15:41",TATASTEEL,PE,640,12732,13,13,12.6,13.9,12,13.95,1061,1061,5305,2122
100961,"2018-03-05 09:15:43",MARUTI,CE,9000,1275,124,130.85,118.05,125.6,118,125.75,75,225,75,600
100962,"2018-03-05 09:15:46",MARUTI,CE,9000,1350,125.35,130.85,118.2,125.2,118.15,125.25,75,75,75,75
100963,"2018-03-05 09:15:48",TATASTEEL,PE,640,15915,13.05,14,13,13.95,12.6,14,1061,1061,1061,4244
100964,"2018-03-05 09:15:49",BHARTIARTL,PE,400,0,3.1,0,3.35,3.6,3.3,4.1,1700,5100,5100,1700
100965,"2018-03-05 09:15:49",BIOCON,CE,680,0,6.75,0,5.3,6.75,5.25,6.8,1800,1800,3600,3600
100968,"2018-03-05 09:15:50",RELCAPITAL,PE,440,1500,13,13,12.2,12.3,11.95,12.35,750,2250,750,2250
100966,"2018-03-05 09:15:50",RELIANCE,PE,920,6000,10.3,11.2,9.8,10.4,9.75,10.45,1000,3000,3000,3000
100967,"2018-03-05 09:15:50",TATAMOTORS,PE,360,31500,8.95,8.95,8.35,9.2,8.3,10.15,1500,1500,9000,4500
100970,"2018-03-05 09:15:51",INFY,CE,1200,1800,11,11.05,10.05,11.4,10,12.3,1200,600,3000,600
100969,"2018-03-05 09:15:51",TCS,CE,3200,750,26.65,26.65,23.55,25.4,23.5,25.45,500,750,250,250
100971,"2018-03-05 09:15:53",VEDL,CE,340,5250,3.1,3.1,2.95,3.15,2.9,3.35,1750,1750,1750,8750
100972,"2018-03-05 09:15:55",TATASTEEL,PE,640,18037,13,14,12.6,13.2,12.45,13.25,1061,1061,1061,1061
100973,"2018-03-05 09:15:57",RELCAPITAL,PE,440,3750,12.3,13,12.05,12.5,12,12.55,750,2250,750,750
100975,"2018-03-05 09:15:58",MARUTI,CE,9000,1575,120.05,130.85,120,121.2,117.05,121.25,75,75,75,75
100974,"2018-03-05 09:15:58",TATAMOTORS,PE,360,33000,8.45,8.95,8.45,9.2,8.2,9.3,18000,1500,1500,9000
100976,"2018-03-05 09:15:59",MARUTI,CE,9000,1650,121.05,130.85,120.85,122.65,120.8,122.7,75,75,75,150
100977,"2018-03-05 09:16:00",VEDL,CE,340,7000,3.15,3.15,3.05,3.45,2.8,3.5,3500,8750,1750,1750
100978,"2018-03-05 09:16:02",BIOCON,CE,680,0,6.75,0,5.55,6.7,5.5,6.75,5400,1800,3600,3600
100979,"2018-03-05 09:16:03",MARUTI,CE,9000,1725,120.85,130.85,120.05,122.35,120,122.4,75,75,75,75
100982,"2018-03-05 09:16:04",MARUTI,CE,9000,1800,120,130.85,117.05,121.75,117,121.8,75,75,300,75
100980,"2018-03-05 09:16:04",RELCAPITAL,PE,440,5250,12.3,13,12,12.4,11.95,12.45,3000,2250,750,18000
100983,"2018-03-05 09:16:04",RELIANCE,PE,920,7000,10,11.2,9.8,10.05,9.7,10.15,1000,5000,4000,8000
100981,"2018-03-05 09:16:04",TATASTEEL,PE,640,20159,13,14,12.6,12.8,12.45,12.85,1061,2122,1061,1061
100984,"2018-03-05 09:16:05",MARUTI,CE,9000,2100,120,130.85,117.25,123.5,117.2,123.55,75,150,75,75
100985,"2018-03-05 09:16:06",BHARTIARTL,PE,400,0,3.1,0,3.2,3.35,3.15,3.55,1700,3400,5100,1700
100986,"2018-03-05 09:16:06",INFY,CE,1200,2400,10.95,11.05,10.55,11.4,10.5,11.95,2400,600,2400,600
100987,"2018-03-05 09:16:06",TATAMOTORS,PE,360,37500,9.05,9.05,9.05,9.1,9,9.2,4500,1500,3000,4500
100988,"2018-03-05 09:16:07",TCS,CE,3200,1250,23.45,26.65,23.15,25.35,23.1,25.4,500,250,250,250
100989,"2018-03-05 09:16:10",RELCAPITAL,PE,440,6750,12,13,12,12.4,11.95,12.5,750,1500,750,2250
100990,"2018-03-05 09:16:10",RELIANCE,PE,920,8000,10.25,11.2,10.55,10.7,10.5,11,2000,4000,1000,1000
100992,"2018-03-05 09:16:11",INFY,CE,1200,3000,11.4,11.4,11.55,12.15,11.5,12.2,1800,600,2400,1200
100991,"2018-03-05 09:16:11",TATASTEEL,PE,640,21220,12.8,14,12.65,12.9,12.6,12.95,1061,2122,1061,1061
100993,"2018-03-05 09:16:14",MARUTI,CE,9000,2250,119.4,130.85,119.05,119.75,119,119.85,75,75,75,75
100995,"2018-03-05 09:16:15",INFY,CE,1200,3600,11.7,11.7,11.35,11.7,11.1,11.75,1200,600,600,600
100994,"2018-03-05 09:16:15",MARUTI,CE,9000,2325,119,130.85,117.35,118.35,117.3,118.4,75,75,75,75
100996,"2018-03-05 09:16:15",RELCAPITAL,PE,440,7500,12.4,13,12,12.4,11.95,12.5,1500,750,750,20250
100999,"2018-03-05 09:16:16",BHARTIARTL,PE,400,0,3.1,0,3.2,3.3,3.15,3.35,5100,1700,10200,8500
100997,"2018-03-05 09:16:16",BIOCON,CE,680,0,6.75,0,5.35,6.9,5.3,6.95,1800,1800,12600,3600
100998,"2018-03-05 09:16:16",VEDL,CE,340,12250,3.1,3.25,3,3.15,2.9,3.25,8750,1750,1750,3500
101000,"2018-03-05 09:16:17",TATASTEEL,PE,640,25464,13.05,14,13,13.3,12.9,13.35,5305,1061,2122,1061
101001,"2018-03-05 09:16:20",TATAMOTORS,PE,360,39000,9.05,9.05,9,9.05,8.9,9.1,1500,3000,6000,10500
101003,"2018-03-05 09:16:21",RELCAPITAL,PE,440,9000,12.5,13,12.05,12.5,12,12.65,750,1500,750,22500
101002,"2018-03-05 09:16:21",RELIANCE,PE,920,10000,10.35,11.2,10.35,10.55,10.3,10.6,1000,1000,5000,3000
101004,"2018-03-05 09:16:21",TCS,CE,3200,1250,23.45,26.65,24.15,24.75,24.1,24.85,250,750,250,500
101005,"2018-03-05 09:16:22",MARUTI,CE,9000,2475,119,130.85,117.15,119.95,117.1,120.05,150,75,75,75
101006,"2018-03-05 09:16:24",MARUTI,CE,9000,2625,118,130.85,117.8,119.95,117,120,150,75,300,75
101007,"2018-03-05 09:16:27",MARUTI,CE,9000,2700,117.35,130.85,117.45,119.65,117.4,119.7,75,150,75,75
101008,"2018-03-05 09:16:28",TATAMOTORS,PE,360,43500,9,9.05,8.8,8.95,8.75,9,1500,1500,9000,7500
101010,"2018-03-05 09:16:29",BHARTIARTL,PE,400,0,3.1,0,3.15,3.3,3.1,3.35,10200,5100,1700,8500
101009,"2018-03-05 09:16:29",BIOCON,CE,680,0,6.75,0,6.05,7.4,6,7.45,5400,1800,1800,3600
101011,"2018-03-05 09:16:29",INFY,CE,1200,3600,11.7,11.7,11.55,12.05,11.5,12.1,600,600,2400,1200
101012,"2018-03-05 09:16:30",MARUTI,CE,9000,2775,119.45,130.85,117.85,119.5,117.8,119.55,150,75,75,75
101013,"2018-03-05 09:16:30",VEDL,CE,340,12250,3.1,3.25,3.1,3.15,3.05,3.25,7000,1750,1750,5250
101015,"2018-03-05 09:16:32",RELCAPITAL,PE,440,10500,12,13,11.95,12.25,11.85,12.3,750,750,750,750
101014,"2018-03-05 09:16:32",RELIANCE,PE,920,10000,10.35,11.2,10.35,10.55,10.3,10.6,4000,1000,3000,3000
101016,"2018-03-05 09:16:33",TATASTEEL,PE,640,32891,13.25,14,12.85,13.45,12.8,13.5,2122,2122,2122,1061
101017,"2018-03-05 09:16:35",MARUTI,CE,9000,2925,118.45,130.85,118.25,121.8,118.2,121.85,75,75,75,75
101018,"2018-03-05 09:16:36",TCS,CE,3200,1250,23.45,26.65,24.1,24.8,24,24.9,250,500,250,500
101020,"2018-03-05 09:16:38",INFY,CE,1200,4200,11.8,11.8,11.9,12.15,11.85,12.2,600,600,1200,600
101019,"2018-03-05 09:16:38",VEDL,CE,340,15750,3.2,3.25,3.05,3.25,3,3.3,1750,1750,8750,3500
101021,"2018-03-05 09:16:40",TATASTEEL,PE,640,45623,13,14,12.9,13.1,12.8,13.15,1061,2122,2122,1061
101022,"2018-03-05 09:16:41",BHARTIARTL,PE,400,0,3.1,0,3.25,3.35,3.2,3.4,1700,3400,11900,6800
101023,"2018-03-05 09:16:42",BIOCON,CE,680,0,6.75,0,6.65,7.5,6.6,7.55,1800,5400,1800,5400
101024,"2018-03-05 09:16:42",RELCAPITAL,PE,440,15750,12.05,13,11.95,12.3,11.9,12.35,2250,3750,1500,750
101025,"2018-03-05 09:16:43",RELIANCE,PE,920,10000,10.35,11.2,10.85,11.05,10.8,11.1,1000,1000,6000,4000
101026,"2018-03-05 09:16:43",TATAMOTORS,PE,360,43500,9,9.05,8.55,8.7,8.5,8.75,1500,6000,1500,3000
101027,"2018-03-05 09:16:44",MARUTI,CE,9000,3075,119.4,130.85,119.2,120.7,119.15,120.75,150,75,75,75
101028,"2018-03-05 09:16:45",VEDL,CE,340,17500,3.15,3.25,3.1,3.2,3,3.3,1750,1750,3500,1750
101029,"2018-03-05 09:16:47",INFY,CE,1200,4800,12.2,12.2,12.1,12.35,12.05,13,600,1200,2400,600
101030,"2018-03-05 09:16:47",TATASTEEL,PE,640,48806,12.9,14,12.8,13,12.7,13.15,1061,10610,1061,1061
101031,"2018-03-05 09:16:49",MARUTI,CE,9000,3150,119.3,130.85,118.2,118.95,118.15,119,75,75,75,75
101033,"2018-03-05 09:16:50",MARUTI,CE,9000,3225,119,130.85,118.15,121.1,118.1,121.15,75,75,75,75
101032,"2018-03-05 09:16:50",TATAMOTORS,PE,360,46500,8.6,9.05,8.45,8.6,8.4,8.65,4500,3000,1500,1500
101034,"2018-03-05 09:16:50",TCS,CE,3200,1250,23.45,26.65,24.2,25.4,23.55,25.45,250,750,250,250
101035,"2018-03-05 09:16:53",RELCAPITAL,PE,440,15750,12.05,13,12.05,12.45,11.95,12.5,750,1500,750,1500
101036,"2018-03-05 09:16:53",RELIANCE,PE,920,10000,10.35,11.2,11.05,11.25,11,11.3,2000,1000,5000,3000
101037,"2018-03-05 09:16:54",TATASTEEL,PE,640,53050,13,14,12.8,13,12.7,13.15,1061,7427,1061,1061
101038,"2018-03-05 09:16:55",BHARTIARTL,PE,400,0,3.1,0,3.25,3.4,3.2,3.45,13600,11900,10200,8500
101039,"2018-03-05 09:16:55",BIOCON,CE,680,0,6.75,0,6.15,7.25,6.1,7.3,5400,1800,1800,3600
101041,"2018-03-05 09:16:58",INFY,CE,1200,6000,12.4,12.4,12.4,12.6,12.25,12.95,600,1800,1800,600
101040,"2018-03-05 09:16:58",VEDL,CE,340,19250,3.15,3.25,3.15,3.2,3.1,3.25,1750,3500,1750,8750
101042,"2018-03-05 09:16:59",MARUTI,CE,9000,3300,118.2,130.85,118.2,120.95,118.05,121,75,75,75,75
101043,"2018-03-05 09:16:59",TATASTEEL,PE,640,54111,12.8,14,12.7,12.95,12.65,13,2122,1061,1061,7427
101044,"2018-03-05 09:17:01",TATAMOTORS,PE,360,46500,8.6,9.05,8.5,8.6,8.45,8.65,1500,10500,9000,1500
101047,"2018-03-05 09:17:02",INFY,CE,1200,7200,12.4,12.45,12.05,12.45,12,12.5,1800,600,3000,1200
101046,"2018-03-05 09:17:02",MARUTI,CE,9000,3450,119,130.85,118.55,120.85,118.5,121,75,75,75,75
101045,"2018-03-05 09:17:02",TCS,CE,3200,1500,24.5,26.65,24,25.4,23.95,25.45,500,750,250,250
101049,"2018-03-05 09:17:03",MARUTI,CE,9000,3525,118.55,130.85,118.5,120.3,118.2,120.35,75,150,75,150
101048,"2018-03-05 09:17:03",VEDL,CE,340,21000,3.15,3.25,3.1,3.15,3.05,3.2,3500,1750,1750,1750
101050,"2018-03-05 09:17:07",INFY,CE,1200,8400,12.8,12.8,12.3,12.7,12.25,12.75,600,600,1200,1200
101051,"2018-03-05 09:17:07",RELCAPITAL,PE,440,15750,12.05,13,12.1,12.45,12.05,12.5,750,1500,1500,1500
101052,"2018-03-05 09:17:07",RELIANCE,PE,920,10000,10.35,11.2,11.15,11.35,11.1,11.4,1000,1000,4000,6000
101053,"2018-03-05 09:17:07",TATAMOTORS,PE,360,54000,8.35,9.05,8.3,8.4,8.25,8.45,4500,1500,15000,9000
101055,"2018-03-05 09:17:08",BHARTIARTL,PE,400,0,3.1,0,3.25,3.4,3.2,3.45,6800,11900,10200,8500
101054,"2018-03-05 09:17:08",BIOCON,CE,680,0,6.75,0,6.8,7.05,6.4,7.1,3600,3600,1800,5400
101056,"2018-03-05 09:17:10",VEDL,CE,340,24500,3.1,3.25,3,3.15,2.6,3.2,7000,8750,1750,3500
101057,"2018-03-05 09:17:11",TATASTEEL,PE,640,55172,12.75,14,12.6,12.75,12.45,12.9,1061,1061,1061,4244
101058,"2018-03-05 09:17:13",MARUTI,CE,9000,4575,121.05,130.85,121,121.4,118.3,121.5,2025,75,75,75
101059,"2018-03-05 09:17:13",TATAMOTORS,PE,360,57000,8.45,9.05,8.35,8.45,8.3,8.5,7500,9000,4500,16500
101060,"2018-03-05 09:17:14",TCS,CE,3200,1500,24.5,26.65,24.2,25.4,24,25.45,250,750,250,250
101061,"2018-03-05 09:17:16",MARUTI,CE,9000,4650,121,130.85,121,121.4,118.3,121.5,1950,75,75,75
101062,"2018-03-05 09:17:17",TATASTEEL,PE,640,56233,12.75,14,12.7,12.95,12.65,13,3183,1061,1061,7427
101063,"2018-03-05 09:17:18",MARUTI,CE,9000,5625,121,130.85,121,121.4,118.6,121.5,975,75,75,75
101064,"2018-03-05 09:17:18",RELCAPITAL,PE,440,15750,12.05,13,12.05,12.35,11.8,12.45,750,24000,1500,750
101065,"2018-03-05 09:17:18",RELIANCE,PE,920,11000,11.35,11.35,11.25,11.45,11.2,11.5,1000,2000,5000,3000
101069,"2018-03-05 09:17:19",BHARTIARTL,PE,400,0,3.1,0,3.25,3.4,3.2,3.45,3400,11900,10200,5100
101066,"2018-03-05 09:17:19",BIOCON,CE,680,0,6.75,0,6.75,6.9,6.45,6.95,1800,1800,1800,3600
101067,"2018-03-05 09:17:19",INFY,CE,1200,9600,12.45,12.8,12.4,12.5,12.25,12.55,600,1200,1200,1200
101068,"2018-03-05 09:17:19",MARUTI,CE,9000,5775,121,130.85,121,121.4,119.05,121.5,825,75,75,75
101070,"2018-03-05 09:17:20",MARUTI,CE,9000,5925,121.5,130.85,121,122.15,119.05,122.2,825,75,75,75
101071,"2018-03-05 09:17:22",VEDL,CE,340,24500,3.1,3.25,3,3.15,2.95,3.25,7000,3500,1750,5250
101073,"2018-03-05 09:17:23",INFY,CE,1200,10200,12.4,12.8,12.35,12.65,12.25,12.75,1200,1200,1800,600
101072,"2018-03-05 09:17:23",MARUTI,CE,9000,6825,121,130.85,121.05,122.2,121,122.25,75,75,150,75
101074,"2018-03-05 09:17:24",MARUTI,CE,9000,7125,121,130.85,121.05,122.05,121,122.1,75,75,75,75
101075,"2018-03-05 09:17:25",RELCAPITAL,PE,440,16500,12.05,13,11.8,12.2,11.75,12.3,1500,2250,750,22500
101077,"2018-03-05 09:17:26",MARUTI,CE,9000,7200,121,130.85,120.1,120.6,120,121.6,75,75,75,75
101076,"2018-03-05 09:17:26",TATAMOTORS,PE,360,60000,8.4,9.05,8.35,8.45,8.3,8.5,4500,13500,9000,12000
101080,"2018-03-05 09:17:28",INFY,CE,1200,10800,12.45,12.8,12.2,12.3,12.1,12.55,1200,600,600,600
101078,"2018-03-05 09:17:28",MARUTI,CE,9000,7800,122,130.85,120.8,121.6,119.9,121.65,75,75,75,75
101079,"2018-03-05 09:17:28",VEDL,CE,340,28000,3.15,3.25,3.05,3.2,3,3.25,7000,7000,5250,7000
101082,"2018-03-05 09:17:30",RELIANCE,PE,920,12000,11.35,11.35,11.15,11.4,11.1,11.5,2000,4000,4000,3000
101081,"2018-03-05 09:17:30",TATASTEEL,PE,640,58355,12.95,14,12.8,13,12.75,13.05,2122,12732,1061,2122
101084,"2018-03-05 09:17:32",BHARTIARTL,PE,400,0,3.1,0,3.3,3.4,3.25,3.45,3400,6800,10200,5100
101085,"2018-03-05 09:17:32",INFY,CE,1200,12600,12.2,12.8,12.1,12.3,12.05,12.35,600,600,1800,1800
101083,"2018-03-05 09:17:32",MARUTI,CE,9000,7875,122.25,130.85,122.45,123.55,122.4,123.6,150,75,75,75
101086,"2018-03-05 09:17:32",TATAMOTORS,PE,360,61500,8.3,9.05,8.25,8.4,8.2,8.45,10500,12000,4500,9000
101088,"2018-03-05 09:17:33",BIOCON,CE,680,0,6.75,0,6.85,7,6.8,7.3,1800,1800,5400,1800
101087,"2018-03-05 09:17:33",TCS,CE,3200,1750,24.45,26.65,24,25.4,23.95,25.45,250,750,250,250
101090,"2018-03-05 09:17:35",RELCAPITAL,PE,440,16500,12.05,13,11.8,12,11.65,12.05,750,2250,750,22500
101089,"2018-03-05 09:17:35",VEDL,CE,340,31500,3.1,3.25,3.1,3.25,3.05,3.3,1750,3500,5250,3500
