CURR+AF8-DATE,symbol,count+AF8-symbol,total+AF8-turnover,Outlook for March 5,CL,Actual,Outlook for March 6,CL,Actual,Outlook for 8th,CL,Actual,Outlook for 9th,CL
03-01-18,BHARTIARTL,2,128902.3,#NAME?,75,#NAME?,#NAME?,75,,1,70,',-1,75
03-01-18,BIOCON,2,87634,1,75,+AC0-1 (+AH4-),1,70,,#NAME?,70,,1,70
03-01-18,HDFC,4,188605.7,0,,#NAME?,1,75,,#NAME?,70,,0,
03-01-18,INFY,4,223247.7,1,70,+AC0-1 (+AH4-),#NAME?,75,,#NAME?,70,,1,70
03-01-18,LT,4,115665.4,0,,#NAME?,#NAME?,70,,1,75,,-1,70
03-01-18,MARUTI,4,240999.2,1,75,#NAME?,#NAME?,70,,0,70,,-1,75
03-01-18,MINDTREE,2,79789.8,0,,1,1,70,,0,Positive drift,,1,75
03-01-18,RELCAPITAL,3,73425.7,#NAME?,75,,,,,1,70,,0,
03-01-18,RELIANCE,4,367359.4,#NAME?,70,,,,,#NAME?,70,,0,
03-01-18,SUNPHARMA,4,286703.6,0,,,,,,#NAME?,70,exit at minimum loss,,
03-01-18,TATAMOTORS,3,94934.7,#NAME?,75,,,,,1,70,,1,70
03-01-18,TATASTEEL,4,305207.4,1,70,,,,,,,,,
03-01-18,TCS,3,118470.7,1,75,,,,,1,70,,-1,75
03-01-18,VEDL,4,130030.5,1,70,,,,,,,,,
