id,curr_time,symbol,volume,price
307942,"2018-02-09 15:59:40",SBIN,15750822,296.4
307941,"2018-02-09 15:59:37",ITC,14204123,271.35
307940,"2018-02-09 15:59:32",MARUTI,364892,8936.1
307939,"2018-02-09 15:59:30",ICICIBANK,9493397,326.75
307938,"2018-02-09 15:59:25",ICICIBANK,9493396,326.75
307937,"2018-02-09 15:59:21",SBIN,15750807,296.4
307935,"2018-02-09 15:59:14",ICICIBANK,9493395,326.75
307936,"2018-02-09 15:59:14",ITC,14204103,271.35
307934,"2018-02-09 15:59:11",ICICIBANK,9493394,326.75
307933,"2018-02-09 15:59:04",SBIN,15750787,296.4
307932,"2018-02-09 15:58:40",ICICIBANK,9493393,326.75
307931,"2018-02-09 15:58:39",ICICIBANK,9493392,326.75
307929,"2018-02-09 15:58:35",ITC,14204003,271.35
307930,"2018-02-09 15:58:35",HDIL,11191722,51.55
307928,"2018-02-09 15:58:17",ICICIBANK,9493390,326.75
307927,"2018-02-09 15:58:02",ICICIBANK,9493389,326.75
307926,"2018-02-09 15:58:00",SBIN,15750586,296.4
307925,"2018-02-09 15:57:52",SBIN,15750086,296.4
307924,"2018-02-09 15:57:49",ICICIBANK,9493386,326.75
307923,"2018-02-09 15:57:47",HDIL,11189771,51.55
307922,"2018-02-09 15:57:41",ICICIBANK,9493385,326.75
307921,"2018-02-09 15:57:40",JINDALSTEL,15474462,272.65
307920,"2018-02-09 15:57:31",ICICIBANK,9493381,326.75
307919,"2018-02-09 15:57:30",SBIN,15750085,296.4
307918,"2018-02-09 15:57:24",RELIANCE,5294279,897.85
307917,"2018-02-09 15:57:15",ICICIBANK,9493380,326.75
307916,"2018-02-09 15:57:13",HDIL,11189651,51.55
307915,"2018-02-09 15:57:12",ITC,14203873,271.35
307914,"2018-02-09 15:57:08",SBIN,15750078,296.4
307913,"2018-02-09 15:56:55",ICICIBANK,9493377,326.75
307912,"2018-02-09 15:56:51",ICICIBANK,9493376,326.75
307911,"2018-02-09 15:56:47",AXISBANK,5865587,557.55
307910,"2018-02-09 15:56:30",SBIN,15749728,296.4
307909,"2018-02-09 15:56:24",ICICIBANK,9493374,326.75
307908,"2018-02-09 15:56:13",LT,2029257,1329.25
307907,"2018-02-09 15:56:09",INFY,2191345,1109.15
307906,"2018-02-09 15:55:53",SBIN,15749428,296.4
307905,"2018-02-09 15:55:46",ICICIBANK,9493373,326.75
307904,"2018-02-09 15:55:36",RELIANCE,5294079,897.85
307903,"2018-02-09 15:55:33",SBIN,15749228,296.4
307902,"2018-02-09 15:55:11",HDFCBANK,1602238,1849.5
307901,"2018-02-09 15:55:03",JINDALSTEL,15474437,272.65
307900,"2018-02-09 15:54:57",RELIANCE,5294078,897.85
307899,"2018-02-09 15:54:56",ICICIBANK,9493372,326.75
307898,"2018-02-09 15:54:55",SBIN,15749226,296.4
307897,"2018-02-09 15:54:41",HDIL,11189551,51.55
307896,"2018-02-09 15:54:32",SBIN,15748226,296.4
307894,"2018-02-09 15:54:27",SBIN,15747926,296.4
307895,"2018-02-09 15:54:27",HDIL,11189501,51.55
307893,"2018-02-09 15:54:18",SBIN,15747925,296.4
307892,"2018-02-09 15:54:14",ITC,14203723,271.35
307891,"2018-02-09 15:54:13",ICICIBANK,9493371,326.75
307890,"2018-02-09 15:54:06",SBIN,15747325,296.4
307889,"2018-02-09 15:54:04",LT,2029207,1329.25
307888,"2018-02-09 15:53:59",MARUTI,364882,8936.1
307887,"2018-02-09 15:53:57",HDIL,11189401,51.55
307886,"2018-02-09 15:53:36",AXISBANK,5865586,557.55
307885,"2018-02-09 15:53:33",ICICIBANK,9493370,326.75
307884,"2018-02-09 15:53:27",AXISBANK,5865576,557.55
307882,"2018-02-09 15:53:22",SBIN,15746325,296.4
307883,"2018-02-09 15:53:22",HDIL,11189376,51.55
307881,"2018-02-09 15:53:21",RELIANCE,5294077,897.85
307879,"2018-02-09 15:53:12",ICICIBANK,9493367,326.75
307880,"2018-02-09 15:53:12",HDIL,11189276,51.55
307878,"2018-02-09 15:53:10",AXISBANK,5865556,557.55
307877,"2018-02-09 15:52:52",SBIN,15746324,296.4
307876,"2018-02-09 15:52:48",KOTAKBANK,1898563,1032
307875,"2018-02-09 15:52:46",HDFCBANK,1602218,1849.5
307874,"2018-02-09 15:52:45",INFY,2191336,1109.15
307873,"2018-02-09 15:52:38",LT,2029106,1329.25
307872,"2018-02-09 15:52:33",LT,2029081,1329.25
307871,"2018-02-09 15:52:32",SBIN,15746304,296.4
307870,"2018-02-09 15:52:14",LT,2029071,1329.25
307869,"2018-02-09 15:52:07",MARUTI,364874,8936.1
307868,"2018-02-09 15:52:06",ICICIBANK,9493366,326.75
307867,"2018-02-09 15:52:02",LT,2029070,1329.25
307866,"2018-02-09 15:51:42",INFY,2191322,1109.15
307865,"2018-02-09 15:51:41",ICICIBANK,9493363,326.75
307864,"2018-02-09 15:51:36",JINDALSTEL,15474003,272.65
307863,"2018-02-09 15:51:31",ITC,14203523,271.35
307862,"2018-02-09 15:51:30",HDIL,11189226,51.55
307861,"2018-02-09 15:51:26",SBIN,15746300,296.4
307860,"2018-02-09 15:51:11",ICICIBANK,9493213,326.75
307859,"2018-02-09 15:51:06",SBIN,15746250,296.4
307858,"2018-02-09 15:50:40",SBIN,15746248,296.4
307857,"2018-02-09 15:50:39",LT,2028920,1329.25
307856,"2018-02-09 15:50:36",IDFCBANK,7044543,53.2
307855,"2018-02-09 15:50:24",ITC,14203422,271.35
307854,"2018-02-09 15:50:22",SBIN,15745248,296.4
307853,"2018-02-09 15:50:15",SBIN,15745158,296.4
307852,"2018-02-09 15:50:11",HDIL,11189176,51.55
307851,"2018-02-09 15:50:07",JINDALSTEL,15473978,272.65
307850,"2018-02-09 15:50:04",SBIN,15744658,296.4
307849,"2018-02-09 15:50:01",INFY,2191317,1109.15
307848,"2018-02-09 15:49:59",HDIL,11189076,51.55
307846,"2018-02-09 15:49:57",SBIN,15744158,296.4
307847,"2018-02-09 15:49:57",ICICIBANK,9493212,326.75
307845,"2018-02-09 15:49:46",ICICIBANK,9493206,326.75
307844,"2018-02-09 15:49:45",LT,2028919,1329.25
307843,"2018-02-09 15:49:40",RELIANCE,5294041,897.85
307842,"2018-02-09 15:49:39",LT,2028916,1329.25
307841,"2018-02-09 15:49:38",ICICIBANK,9493200,326.75
307840,"2018-02-09 15:49:36",JINDALSTEL,15473878,272.65
307838,"2018-02-09 15:49:30",HDFC,2773971,1773.05
307839,"2018-02-09 15:49:30",JINDALSTEL,15473778,272.65
307837,"2018-02-09 15:49:29",SBIN,15744112,296.4
307836,"2018-02-09 15:49:21",JINDALSTEL,15473678,272.65
307835,"2018-02-09 15:49:16",SBIN,15744107,296.4
307834,"2018-02-09 15:49:06",JINDALSTEL,15473378,272.65
307832,"2018-02-09 15:49:03",LT,2028881,1329.25
307833,"2018-02-09 15:49:03",HDIL,11189071,51.55
307831,"2018-02-09 15:48:39",LT,2028811,1329.25
