id,curr_time,symbol,option_type,option_strike_price,volume,last_price,bid_price_1,offer_price_1,bid_price_2,offer_price_2,bid_quantity_1,offer_quantity_1,bid_quantity_2,offer_quantity_2
58518,"2018-02-27 09:22:33",BPCL,CE,450,25200,8.2,8.15,8.4,8.1,8.45,3600,5400,3600,9000
58519,"2018-02-27 09:22:33",LT,CE,1400,48000,13.1,12.9,13.2,12.85,13.25,750,2250,1500,1500
58522,"2018-02-27 09:22:33",MARUTI,CE,9300,16275,115.25,115,115.55,114.6,115.6,75,75,75,75
58520,"2018-02-27 09:22:33",RELCAPITAL,PE,460,9750,10.5,10.35,10.6,10.3,10.65,750,750,750,2250
58521,"2018-02-27 09:22:33",RELIANCE,CE,960,257000,17.9,17.8,17.95,17.75,18,1000,3000,2000,11000
58523,"2018-02-27 09:22:33",SUNPHARMA,PE,540,55000,13,12.75,12.95,12.7,13,3300,4400,3300,1100
58524,"2018-02-27 09:22:33",TATAMOTORS,CE,390,187500,6.65,6.65,6.7,6.6,6.75,3000,4500,15000,18000
58525,"2018-02-27 09:22:33",TCS,CE,3300,5000,15.2,15.1,15.25,15,15.3,250,1000,250,250
58526,"2018-02-27 09:22:33",VEDL,PE,330,26250,10.1,10,10.15,9.95,10.2,3500,7000,12250,12250
58527,"2018-02-27 09:22:34",RELIANCE,CE,960,258000,17.95,17.8,18,17.75,18.05,1000,12000,2000,4000
58528,"2018-02-27 09:22:35",RELIANCE,CE,960,259000,18,17.8,17.9,17.75,17.95,2000,1000,2000,2000
58529,"2018-02-27 09:22:36",RELIANCE,CE,960,260000,17.9,17.75,17.9,17.7,17.95,2000,1000,5000,3000
58530,"2018-02-27 09:22:37",RELIANCE,CE,960,261000,17.75,17.65,17.8,17.6,17.85,1000,2000,3000,3000
58531,"2018-02-27 09:22:37",TCS,CE,3300,5250,15.1,15,15.15,14.9,15.2,250,500,250,250
58532,"2018-02-27 09:22:40",MARUTI,CE,9300,16350,115.5,115.5,116.4,115.45,116.45,75,75,75,75
58533,"2018-02-27 09:22:44",LT,CE,1400,48000,13.1,13.15,13.4,13.05,13.45,750,750,1500,5250
58535,"2018-02-27 09:22:45",RELIANCE,CE,960,262000,17.75,17.8,17.9,17.75,17.95,1000,6000,1000,5000
58534,"2018-02-27 09:22:45",SUNPHARMA,PE,540,55000,13,12.55,12.75,12.5,12.8,4400,3300,4400,4400
58537,"2018-02-27 09:22:46",RELCAPITAL,PE,460,9750,10.5,10.35,10.65,10.3,10.7,2250,750,3000,4500
58536,"2018-02-27 09:22:46",RELIANCE,CE,960,264000,17.8,17.75,17.9,17.7,17.95,1000,6000,1000,5000
58540,"2018-02-27 09:22:48",BPCL,CE,450,25200,8.2,8.15,8.4,8.1,8.45,3600,9000,1800,5400
58538,"2018-02-27 09:22:48",MARUTI,CE,9300,16425,116.15,116.4,117.5,116.35,117.55,75,75,150,150
58539,"2018-02-27 09:22:48",TATAMOTORS,CE,390,187500,6.65,6.65,6.75,6.6,6.8,9000,18000,18000,10500
58541,"2018-02-27 09:22:48",TCS,CE,3300,5500,15,14.75,14.95,14.5,15,750,250,250,250
58542,"2018-02-27 09:22:49",VEDL,PE,330,26250,10.1,10.3,10.45,10.25,10.5,1750,10500,14000,15750
58543,"2018-02-27 09:22:53",SUNPHARMA,PE,540,59400,12.25,11.8,12.25,11.55,12.45,3300,4400,3300,3300
58544,"2018-02-27 09:22:54",RELCAPITAL,PE,460,10500,10.45,10.4,10.75,10.35,10.8,1500,750,3000,3750
58545,"2018-02-27 09:22:54",TATAMOTORS,CE,390,192000,6.65,6.6,6.7,6.55,6.75,3000,15000,15000,15000
58547,"2018-02-27 09:22:55",LT,CE,1400,48000,13.1,13.25,13.45,13.15,13.5,750,750,2250,3000
58548,"2018-02-27 09:22:55",RELIANCE,CE,960,267000,17.9,17.8,17.9,17.75,18,1000,6000,1000,21000
58549,"2018-02-27 09:22:57",RELIANCE,CE,960,270000,17.9,17.8,17.9,17.7,17.95,1000,5000,1000,7000
58551,"2018-02-27 09:22:58",MARUTI,CE,9300,16425,116.15,117.2,118.2,117.15,118.25,75,75,75,225
58550,"2018-02-27 09:22:58",RELCAPITAL,PE,460,12750,10.4,10.35,10.7,10.3,10.75,2250,750,2250,2250
58552,"2018-02-27 09:22:58",SUNPHARMA,PE,540,64900,12.1,12.1,12.3,12,12.35,5500,1100,4400,5500
58553,"2018-02-27 09:23:00",BPCL,CE,450,25200,8.2,8.15,8.35,8.1,8.4,5400,7200,1800,1800
58554,"2018-02-27 09:23:00",RELIANCE,CE,960,275000,17.7,17.6,17.75,17.55,17.8,1000,1000,4000,3000
58555,"2018-02-27 09:23:00",TCS,CE,3300,6000,14.25,14.05,17.6,14,17.65,250,500,250,250
58557,"2018-02-27 09:23:01",LT,CE,1400,51000,13.5,13.55,13.75,13.5,13.8,750,750,750,750
58556,"2018-02-27 09:23:01",VEDL,PE,330,26250,10.1,10.2,10.4,10.15,10.45,3500,19250,14000,12250
58558,"2018-02-27 09:23:02",RELCAPITAL,PE,460,15750,10.4,10.3,10.4,10.2,10.65,2250,4500,2250,750
58559,"2018-02-27 09:23:02",RELIANCE,CE,960,276000,17.65,17.65,17.75,17.6,17.8,1000,2000,2000,3000
58560,"2018-02-27 09:23:04",MARUTI,CE,9300,16500,118.2,117.45,118.25,117.4,118.5,75,225,75,150
58561,"2018-02-27 09:23:04",TATAMOTORS,CE,390,193500,6.65,6.6,6.7,6.55,6.75,4500,15000,16500,16500
58562,"2018-02-27 09:23:06",RELIANCE,CE,960,277000,17.8,17.65,17.85,17.6,17.9,1000,3000,3000,7000
58563,"2018-02-27 09:23:07",BPCL,CE,450,27000,8.1,8,8.25,7.95,8.3,1800,5400,3600,3600
58564,"2018-02-27 09:23:07",RELCAPITAL,PE,460,18750,10.25,10.2,10.4,10.1,10.55,3750,4500,2250,750
58565,"2018-02-27 09:23:08",RELIANCE,CE,960,278000,17.75,17.7,17.85,17.65,17.9,3000,3000,1000,5000
58566,"2018-02-27 09:23:09",SUNPHARMA,PE,540,64900,12.1,12.15,12.3,12.1,12.35,2200,3300,5500,2200
58567,"2018-02-27 09:23:10",TCS,CE,3300,6250,14.6,14.3,14.7,14.25,14.8,500,500,500,500
58569,"2018-02-27 09:23:11",LT,CE,1400,51000,13.5,13.15,13.4,13.05,13.45,3750,3000,4500,1500
58568,"2018-02-27 09:23:11",RELIANCE,CE,960,279000,17.8,17.8,17.9,17.75,17.95,1000,5000,4000,6000
